Date,Year,Type,Application,Product,Active Ingredients,Rate per Acre,Total Per Tank,Total Tanks,Total Applied,Tank Size,GPA Sprayed,# of tanks,Total Acres,N Units,P Units,K Units
2024-05-25,2024,Herbicide (Residual),Under Trees,Valor liquid,Flumioxazin 41.4%,6oz,12oz,2.0,24oz,25g,10.0,2.0,10.0,,,
2024-05-25,2024,Insecticide,On Trees,Abba Ultra (Averland),Abamectin 3.74%,5oz,10oz,4.0,40,100,50.0,4.0,10.0,,,
2024-05-25,2024,Crop Oil,On Trees,Class Act,"Ammonium sulfate, corn syrup, alkyl polyglucoside",32oz,64oz,4.0,256oz,100,50.0,4.0,,,,
2024-05-25,2024,Fertilizer,On Trees,Nitro-Pecan plus,*See comments,32oz,64oz,4.0,256oz,100,50.0,4.0,,,,
2024-06-25,2024,Insecticide,On Trees,Conserve sc, Spinosad (including Spinosyn A and Spinosyn D) ...,8oz,16oz,4.0,,,,4.5,,,,
2024-06-25,2024,Insecticide,On Trees,Advise 4,Imidicloprid 40%,12oz,24oz,4.0,,,,,,,,
2024-06-25,2024,Fertilizer,On Trees,Yield gro complete,(N)13% (P)8% (K)9% (B)0.02% (CU)0.05% (CO)0.0005% (Fe)0.10% (Mn)0.05% (MO)0.005% (Zn)0.95%,64oz,128oz,4.0,,,,4.5,,,,
2024-06-25,2024,Crop Oil,On Trees,Non ionic surfactant,,16oz,32oz,4.0,,,,4.5,,,,
2024-07-11,2024,Herbicide,Under Trees,Makaze roundup,Glyphosate 41%,32oz,80oz,4.0,,,,,,,,
2024-07-11,2024,Herbicide,Under Trees,Total TNV/Interline,Glufosinate Ammonium,64oz,160oz,4.0,,,,,,,,
2024-07-11,2024,Crop Oil,Under Trees,Class Act,Crop Oil,32oz,64oz,4.0,,,,,,,,
2024-07-13,2024,Fertilizer,Under Trees,21-2-15,Granular Fertilizer,,,,"1,650lbs (33 bags x 50lb)",,,,,,,
2024-07-23,2024,Herbicide,Under Trees,,Glyphosate 41%,32oz,64oz,3.0,,,,,,,,
2024-07-23,2024,Herbicide,Under Trees,Interline (Total TNV),Glufosinate Ammonium 24.5%,64oz,128oz,3.0,,,,,,,,
2024-07-23,2024,Crop Oil,Under Trees,Class Act,Crop Oil,16oz,32oz,3.0,,,,,,,,
2024-07-23,2024,Herbicide (Residual),Under Trees,Valor liquid,Flumioxazin 41.4%,6oz,12oz,3.0,,,,,,,,
2024-07-31,2024,Crop Oil,On Trees,Masterlock,Crop oil ,12oz,,4.5,,,,,,,,
2024-07-31,2024,Insecticide,On Trees,Abba Ultra (Averland),Abamectin 3.74%,4.5oz,,4.5,,,,,,,,
2024-07-31,2024,Fungicide,On Trees,Abound (Azoxystrobin),,15.5oz,,4.5,,,,,,,,
2024-08-07,2024,Sunblock,On Trees,Reflections,Calcium 12%,2 gallons,5 gallons,4.0,,,,,,,,
2024-08-24,2024,Insecticide,Drip,Advise 4,Imidicloprid 40%,12oz,,,,,,,,,,
2024-08-31,2024,Insecticide,On Trees,Abamex,,10oz,,,,,,,,,,
2024-08-31,2024,Fertilizer,On Trees,Nitro-Pecan plus,,32oz,,,,,,,,,,
2024-08-31,2024,Crop Oil,On Trees,CNI 80/20,,32oz,,,,,,,,,,
2024-09-19,2024,Fungicide,On Trees,Kocide 3000,,,,,,,,,,,,
2025-05-20,2025,Fertilizer,Drip,N Response (Liquid),24-0-0 ,,,,30 Gallons,,,,,,,
2025-05-20,2025,Fertilizer,Drip,MAX-IN Ultra ZMB,(S)3.6% (B)0.1% (Mn)3% ZN(4%),,,,5 Gallons,,,,,,,
2025-05-23,2025,Herbicide,Under Trees,Total TNV,Glufosinate Ammonium,64oz,128,3.0,3 Gallons,,,,,,,
2025-05-23,2025,Herbicide,Under Trees,Ranger Pro (Roundup),41% Glyphosate,64oz,128,3.0,3 Gallons,,,,,,,
2025-06-07,2025,Fertilizer,Drip,28% Nitrogen liquid,28-0-0-5,,,,17 gallons,,,,,,,
2025-06-07,2025,Fertilizer,Drip,Corn Che mix,Copper Magneisum Zinc,,,,7.5 gallons,,,,,,,
2025-06-11,2025,Crop Oil,On Trees,CNI crop oil,80/20 oil,32oz,64oz,5.0,2.5 gallons,,50.0,5.0,,,,
2025-06-11,2025,Fertilizer,On Trees,Calcium redox,Calcium 20%,32oz,64oz,5.0,2.5 gallons,,50.0,5.0,,,,
2025-06-11,2025,Insecticide,On Trees,Abamex,Abamectin 2%,20oz,40oz,5.0,1gallon 72oz,,50.0,5.0,,,,
2025-06-11,2025,Fungicide,On Trees,Abound (Azoxystrobin),Azoxystrobin 22%,20oz,40oz,5.0,1gallon 72oz,,50.0,5.0,,,,
2025-06-22,2025,Herbicide,Under Trees,Glypex 4,41% Glyphosate ,64oz,128oz,3.0,3 gallons,60,30.0,3.0,,,,
2025-06-22,2025,Herbicide,Under Trees,Class act,Ammonium sulfate ,16oz,32oz,3.0,96oz,60,30.0,3.0,,,,
2025-06-22,2025,Herbicide,Under Trees,Valor liquid,Valor ,8oz,16oz,3.0,48oz,60,30.0,3.0,,,,
2025-07-28,2025,Herbicide,Under Trees,Interline (Total TNV),Glufosinate Ammonium,640z,128oz,3.0,3 gallons,60,30.0,3.0,,,,
2025-07-28,2025,Crop Oil,Under Trees,Class act,Ammonium sulfate ,8oz,16oz,3.0,48oz,60,30.0,,,,,
2025-07-28,2025,Herbicide,Under Trees,Alion,Indaziflam 19.05%,5oz,10oz,3.0,30oz,60,30.0,,,,,
2025-08-23,2025,Herbicide,Under Trees,Interline (Total TNV),Glufosinate Ammonium,Spot Sprayed 4 rows ,,,,,,,,,,
2025-08-30,2025,Herbicide,Under Trees,Interline (Total TNV),Glufosinate Ammonium,64oz,,,,,,,,,,
2025-08-30,2025,Herbicide,Under Trees,Alion (Valor 8oz used on south grove),Indaziflam 19.05%,5oz,,,,,,,,,,
2025-08-30,2025,Crop Oil,Under Trees,,,32oz,,,,,,,,,,
2025-09-06,2025,Snail Treatment,Under Trees,Slugfest,,60oz,,,70oz,,,,,,,
2025-09-07,2025,Fertilizer,Drip,28% Nitrogen liquid,28-0-0-5,,,,17 gallons,,,,,,,
2025-09-27,2025,Crop Oil,On Trees,Damoil,Mineral Oil 98%,1 gallon,,10.0,10 gallons,100,100.0,,,,,
2025-09-27,2025,Insecticide,On Trees,Abamex,Abamectin 2%,20oz,,10.0,,100,100.0,,,,,
2026-03-07,2026,Fertilizer,Under Trees,21-2-15 Granular,,2lbs per tree,,,64 x 50lb bags 3200lbs total,,,,,,,
2026-03-24,2026,Insecticide,Drip,Advise 4,Imidicloprid 40%,12oz,,,1 gallon,,,,,,,
2026-04-26,2026,Insecticide,Drip,Advise 4,Imidicloprid 40%,12oz,,,1 gallon,,,,,,,
2026-04-26,2026,Fertilizer,Drip,Nitro-Pecan plus,*See comments,32oz,,,2.5 gallons,,,,,,,
2026-04-27,2026,Herbicide,Under Trees,Glypex 4,41% Glyphosate ,64oz,128oz,3.0,3 gallons,65 yellow tank,30.0,3.0,,,,
2026-04-27,2026,Herbicide,Under Trees,Class act,Ammonium sulfate ,16oz,32oz,3.0,96oz,65 yellow tank,30.0,3.0,,,,
2026-06-28,2026,Fertilizer,Under Trees,21-6-16,,,,,,,,,,,,
2026-06-28,2026,Herbicide,Under Trees,Glypex 4,,64oz,,,,,,,,,,
2026-06-28,2026,Herbicide,Under Trees,Ams ammonium sulfate,,16oz,,,,,,,,,,
2026-06-28,2026,Herbicide,Under Trees,Valor,,8oz,,,,,,,,,,
2026-07-09,2026,Herbicide,Under Trees,Ams ammonium sulfate,,16oz,,,,,,,,,,
2026-07-09,2026,Herbicide,Under Trees,Valor,,8oz,,,,,,,,,,
2026-07-09,2026,Herbicide,Under Trees,Glypex 4,,64oz,,,,,,,,,,
2026-07-14,2026,Insecticide,On Trees,Abamex,Abamectin 2%,20oz,,,,,,,,,,
2026-07-14,2026,Crop Oil,On Trees,Damoil,Mineral Oil 98%,64oz,,,,,,,,,,
2026-07-14,2026,Fungicide,On Trees,Abound (Azoxystrobin),Azoxystrobin 22%,20oz,,,,,,,,,,
2026-07-14,2026,Fertilizer,On Trees,Max in ultra ZMB,(S)3.6% (B)0.1% (Zn)4% (Mn)3%,64oz,,,,,,,,,,
2026-07-14,2026,Fertilizer,On Trees,Max in Calcium,,64oz,,,,,,,,,,
2026-07-24,2026,Sunblock,On Trees,Actimin,Sunblock,50lb,,,500lbs,,,,,,,
2026-08-15,2026,Insecticide,On Trees,Abamex,Abamectin 2%,20oz,,,,,,,,,,
2026-08-15,2026,Crop Oil,On Trees,Masterlock,,10oz,,,,,,,,,,
2026-08-15,2026,Fungicide,On Trees,Enable 2F,,8oz,,,,,,,,,,
2026-08-20,2026,Sunblock,On Trees,Actimin,Sunblock,50lb,,3.0,150lbs,100,100.0,3.0,,,,
2026-08-22,2026,Sunblock,On Trees,Actimin,Sunblock,,,1.0,50lb,,,,,,,
2026-08-23,2026,Sunblock,On Trees,Actimin,Sunblock,,,6.0,350,,,,,,,
